,CONTINENT,REGION,WHO_REGION,ADMIN0,ADMIN0ID,ADMIN0_FIP,ADMIN0ISO2,ADMIN0ISO3,ADMIN1,ADMIN1ID,ADMIN2,ADMIN2ID,ADMIN3ID,IUs_ADM,IUs_NAME,IU_ID,Year,Endemicity,PopReq,PopTrg,PopTreat,Cov,EpiCov,MDA_scheme,Endemicity_ID,PopTot,PopPreSAC,PopSAC,PopAdult,Cum_MDA,MDA,EffMDA,MDA_n,EffMDA_n,EpiMDA,EpiEffMDA,EpiMDA_n,EpiEffMDA_n,LF_MDA_left,Oncho_Endemicity,Loa_Endemicity,STH_Endemicity,SCH_Endemicity,MDA_strategy,Drugs,Adjusted_Round1,Adjusted_Round2
0,Africa,Middle Africa,AFRO,Angola,2,AO,AO,AGO,Bengo,249,Ambriz,2049,0,ADM2,Ambriz,2049,2024,Endemic (under MDA),34257,26646,17069,64.06,49.83,ALB+IVM,2,34257,4673,9537,18780,2,1,0,2,0,1,0,2,0,5,Unknown (under LF MDA),Meso-endemic,Low prevalence (less than 20%),Moderate prevalence (10%-49%),MDA 4 / T2,ALBx2 / PZQ,MDA 4,T2
1,Africa,Middle Africa,AFRO,Angola,2,AO,AO,AGO,Bengo,249,Bula Atumba,2088,0,ADM2,Bula atumba,2088,2024,Endemic (under MDA),20294,15786,11657,73.84,57.44,ALB+IVM,2,20294,2768,5650,11125,3,1,1,3,3,1,0,3,1,4,Unknown (under LF MDA),Hyper-endemic,High prevalence (50% and above),Low prevalence (less than 10%),MDA 4 / T1,ALBx2 / PZQ+ALB-MBD,MDA 4,T1
2,Africa,Middle Africa,AFRO,Angola,2,AO,AO,AGO,Bengo,249,Dande,2050,0,ADM2,Dande,2050,2024,Endemic (under MDA),335636,261079,146840,56.24,43.75,ALB+IVM,2,335636,45781,93441,183996,1,1,0,1,0,1,0,1,0,5,Unknown (consider Oncho Elimination Mapping),Hyper-endemic,Low prevalence (less than 20%),Moderate prevalence (10%-49%),MDA 4 / T2,ALBx2 / PZQ,MDA 4,T2
3,Africa,Middle Africa,AFRO,Angola,2,AO,AO,AGO,Bengo,249,Dembos,2089,0,ADM2,Dembos,2089,2024,Endemic (under MDA),45336,35264,13060,37.03,28.81,ALB+IVM,2,45336,6184,12622,24853,3,1,0,3,0,1,0,3,0,5,Unknown (under LF MDA),Hyper-endemic,High prevalence (50% and above),Low prevalence (less than 10%),MDA 4 / T1,ALBx2 / PZQ+ALB-MBD,MDA 4,T1
4,Africa,Middle Africa,AFRO,Angola,2,AO,AO,AGO,Bengo,249,Nambuangongo,2053,0,ADM2,Nambuangongo,2053,2024,Endemic (under MDA),91827,71431,46674,65.34,50.83,ALB+IVM,2,91827,12525,25565,50340,3,1,1,3,2,1,0,3,0,4,Unknown (under LF MDA),Hyper-endemic,Moderate prevalence (20%-49%),Moderate prevalence (10%-49%),MDA 4 / T2,ALBx2 / PZQ,MDA 4,T2
5,Africa,Middle Africa,AFRO,Angola,2,AO,AO,AGO,Bengo,249,Pango Aluquem,2096,0,ADM2,Pango aluquem,2096,2024,Non-endemic,0,0,0,0.0,0.0,Not delivered,0,10566,1441,2942,5792,0,0,0,0,0,0,0,0,0,0,Unknown (under LF MDA),Hyper-endemic,High prevalence (50% and above),Moderate prevalence (10%-49%),T1 / T3,PZQ+ALB-MBD / ALB-MBD,T1,T3
6,Africa,Middle Africa,AFRO,Angola,2,AO,AO,AGO,Benguela,250,Baia Farta,2054,0,ADM2,Baia farta,2054,2024,Non-endemic,0,0,0,0.0,0.0,Not delivered,0,145151,19799,40410,79572,0,0,0,0,0,0,0,0,0,0,Unknown (consider Oncho Elimination Mapping),Non-endemic,Non-endemic,Moderate prevalence (10%-49%),T2,PZQ,Not requiring,T2
7,Africa,Middle Africa,AFRO,Angola,2,AO,AO,AGO,Benguela,250,Balombo,2055,0,ADM2,Balombo,2055,2024,Non-endemic,0,0,0,0.0,0.0,Not delivered,0,146663,20005,40831,80401,0,0,0,0,0,0,0,0,0,0,Unknown (consider Oncho Elimination Mapping),Hypo-endemic,Low prevalence (less than 20%),Low prevalence (less than 10%),T2,PZQ,Not requiring,T2
8,Africa,Middle Africa,AFRO,Angola,2,AO,AO,AGO,Benguela,250,Benguela,2056,0,ADM2,Benguela,2056,2024,Non-endemic,0,0,0,0.0,0.0,Not delivered,0,756129,103136,210506,414510,0,0,0,0,0,0,0,0,0,0,Unknown (consider Oncho Elimination Mapping),Non-endemic,Low prevalence (less than 20%),Non-endemic,Not requiring,Not requiring,Not requiring,T2
9,Africa,Middle Africa,AFRO,Angola,2,AO,AO,AGO,Benguela,250,Bocoio,2057,0,ADM2,Bocoio,2057,2024,Non-endemic,0,0,0,0.0,0.0,Not delivered,0,221660,30234,61710,121514,0,0,0,0,0,0,0,0,0,0,Unknown (consider Oncho Elimination Mapping),Hypo-endemic,Low prevalence (less than 20%),Moderate prevalence (10%-49%),T2,PZQ,Not requiring,T2
10,Africa,Middle Africa,AFRO,Angola,2,AO,AO,AGO,Benguela,250,Caimbambo,2061,0,ADM2,Caimbambo,2061,2024,Non-endemic,0,0,0,0.0,0.0,Not delivered,0,122266,16677,34039,67026,0,0,0,0,0,0,0,0,0,0,Unknown (consider Oncho Elimination Mapping),Non-endemic,Low prevalence (less than 20%),Moderate prevalence (10%-49%),T2,PZQ,Not requiring,T2
11,Africa,Middle Africa,AFRO,Angola,2,AO,AO,AGO,Benguela,250,Catumbela,2216,0,ADM2,Catumbela,2216,2024,Non-endemic,0,0,0,0.0,0.0,Not delivered,0,236628,32276,65877,129719,0,0,0,0,0,0,0,0,0,0,Unknown (consider Oncho Elimination Mapping),Non-endemic,Non-endemic,Non-endemic,Not requiring,Not requiring,Not requiring,T2
12,Africa,Middle Africa,AFRO,Angola,2,AO,AO,AGO,Benguela,250,Chongoroi,2058,0,ADM2,Chongoroi,2058,2024,Non-endemic,0,0,0,0.0,0.0,Not delivered,0,117475,16024,32705,64400,0,0,0,0,0,0,0,0,0,0,Unknown (consider Oncho Elimination Mapping),Non-endemic,Non-endemic,Moderate prevalence (10%-49%),T2,PZQ,MDA 4,T2
13,Africa,Middle Africa,AFRO,Angola,2,AO,AO,AGO,Benguela,250,Cubal,2059,0,ADM2,Cubal,2059,2024,Non-endemic,0,0,0,0.0,0.0,Not delivered,0,411370,56111,114525,225513,0,0,0,0,0,0,0,0,0,0,Unknown (consider Oncho Elimination Mapping),Non-endemic,Low prevalence (less than 20%),Moderate prevalence (10%-49%),T2,PZQ,MDA 4,T2
14,Africa,Middle Africa,AFRO,Angola,2,AO,AO,AGO,Benguela,250,Ganda,2060,0,ADM2,Ganda,2060,2024,Non-endemic,0,0,0,0.0,0.0,Not delivered,0,316956,43233,88241,173755,0,0,0,0,0,0,0,0,0,0,Unknown (consider Oncho Elimination Mapping),Non-endemic,Low prevalence (less than 20%),Moderate prevalence (10%-49%),T2,PZQ,MDA 4,T2
15,Africa,Middle Africa,AFRO,Angola,2,AO,AO,AGO,Benguela,250,Lobito,2062,0,ADM2,Lobito,2062,2024,Endemic (MDA not delivered),529071,0,0,0.0,0.0,Not delivered,1,529071,72165,147293,290037,1,0,0,1,0,0,0,1,0,5,Unknown (under LF MDA),Hypo-endemic,Low prevalence (less than 20%),Non-endemic,MDA 4,ALBx2,MDA 4,T2
16,Africa,Middle Africa,AFRO,Angola,2,AO,AO,AGO,Bie,251,Andulo,2063,0,ADM2,Andulo,2063,2024,Non-endemic,0,0,0,0.0,0.0,Not delivered,0,362559,49453,100936,198755,0,0,0,0,0,0,0,0,0,0,Endemic (MDA not delivered),Hyper-endemic,Low prevalence (less than 20%),Non-endemic,MDA 3,IVM,MDA 3,T2
17,Africa,Middle Africa,AFRO,Angola,2,AO,AO,AGO,Bie,251,Camacupa,2066,0,ADM2,Camacupa,2066,2024,Non-endemic,0,0,0,0.0,0.0,Not delivered,0,217578,29678,60574,119276,0,0,0,0,0,0,0,0,0,0,Endemic (MDA not delivered),Hypo-endemic,Low prevalence (less than 20%),Moderate prevalence (10%-49%),MDA 3 / T2,IVM / PZQ,MDA 3,T2
